industry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
IT Services & IT Consulting,10495695.0,909,11546.419141914192,190,Dominant Industries,False
Manufacturing,8055356.0,945,8524.186243386242,194,Dominant Industries,False
BFSI,4455973.0,431,10338.68445475638,82,Established / Core,False
"Advertising, Media",3882342.0,489,7939.349693251534,116,Established / Core,False
Business Services & Consulting,3477830.0,353,9852.209631728045,87,Established / Core,False
Education & Edtech,2284007.0,199,11477.422110552763,59,Established / Core,False
Healthcare,2080782.0,165,12610.8,45,Established / Core,False
"Construction. & Real estate Infrastructure, Coworking",1891349.0,211,8963.73933649289,78,Established / Core,False
Information Technology,1813198.0,131,13841.20610687023,35,Established / Core,False
Engineering,1591969.0,194,8206.025773195875,60,Established / Core,False
Event planning,1429397.0,132,10828.765151515152,47,Established / Core,False
Chartered Accountants,1243559.0,131,9492.81679389313,57,Established / Core,False
Designing Agency - Architect & Interior,1220821.0,152,8031.7171052631575,59,Established / Core,False
Advertising - Media - Marketing - PR,1180899.0,141,8375.170212765957,13,Emerging / Niche,False
Real Estate,1087605.0,135,8056.333333333333,40,Established / Core,False
"Garment, Textile",1049646.0,101,10392.534653465347,24,Emerging / Niche,False
Power & Energy,1018399.0,58,17558.603448275862,13,Premium (High Value/Bill),False
Construction Material,956778.0,82,11668.024390243903,27,Emerging / Niche,False
"Pharmaceuticals, Labs",794245.0,97,8188.092783505154,33,Emerging / Niche,False
Logistics,786855.0,116,6783.232758620689,51,Established / Core,False
Retail & fashion,777283.0,90,8636.477777777778,33,Emerging / Niche,False
E-Commerce,725100.0,54,13427.777777777777,23,Premium (High Value/Bill),False
Food & Beverage,684339.0,68,10063.808823529413,24,Emerging / Niche,False
Jewellery,632274.0,70,9032.485714285714,24,Emerging / Niche,False
Travel & Tourism,539232.0,68,7929.882352941177,31,Emerging / Niche,False
Pharmaceutical company,516543.0,57,9062.157894736842,8,Emerging / Niche,False
Chemical,497761.0,63,7900.9682539682535,30,Emerging / Niche,False
FMCG,485879.0,77,6310.116883116883,27,Emerging / Niche,False
Hospitality,450962.0,66,6832.757575757576,22,Emerging / Niche,False
Automobile,420965.0,28,15034.464285714286,14,Premium (High Value/Bill),False
"Cosmetic, Beauty",410345.0,39,10521.666666666666,17,Emerging / Niche,False
Education - Training Industry- Institue,396694.0,41,9675.463414634147,11,Emerging / Niche,False
"Exporters, Importers",378469.0,35,10813.4,10,Emerging / Niche,False
"Oil, Gas, Power, Energy",366447.0,20,18322.35,1,Premium (High Value/Bill),True
Publishing & Printing,354980.0,51,6960.392156862745,15,Emerging / Niche,False
"Entertainment, Online Games",339249.0,28,12116.035714285714,11,Emerging / Niche,False
Supplier/Trader,309605.0,47,6587.340425531915,18,Emerging / Niche,False
Banking- Finance - Insurance - Capital - Investment,252011.0,30,8400.366666666667,13,Emerging / Niche,False
Medical Device/Equipment,235517.0,30,7850.566666666667,9,Emerging / Niche,False
Fire & Safety,231156.0,37,6247.459459459459,10,Emerging / Niche,False
"Fashion , Apparel - Clothing -  Textile -Other",228305.0,24,9512.708333333334,8,Emerging / Niche,False
Health & Wellness & Hospital & Medical,220138.0,30,7337.933333333333,10,Emerging / Niche,False
Furniture and Home Furnishings,215527.0,38,5671.763157894737,15,Emerging / Niche,False
Manufacturing Industry,214920.0,24,8955.0,13,Emerging / Niche,False
Petroleum & Oil - Gas,202489.0,19,10657.315789473685,4,Emerging / Niche,False
Digital Marketing  - Internet Marketing - Web Development,197569.0,26,7598.807692307692,8,Emerging / Niche,False
Legal services & Law firms,184970.0,17,10880.588235294117,8,Emerging / Niche,False
Corporate offices,175079.0,25,7003.16,1,Emerging / Niche,True
Group of companies,156343.0,5,31268.6,1,Premium (High Value/Bill),True
wellness,154028.0,21,7334.666666666667,10,Emerging / Niche,False
Marketing,140787.0,12,11732.25,1,Emerging / Niche,True
Beauty & Cosmetics & Personal Care,140766.0,16,8797.875,2,Emerging / Niche,True
Logistics- Transport & Supply Chain / Freight Forwading,133817.0,13,10293.615384615385,5,Emerging / Niche,False
ITES,131938.0,21,6282.761904761905,7,Emerging / Niche,False
Construction - Building Material - Contractor- Real Estate- Infra,130812.0,14,9343.714285714286,6,Emerging / Niche,False
Market research,124307.0,19,6542.473684210527,12,Emerging / Niche,False
Packaging,108151.0,11,9831.90909090909,8,Emerging / Niche,False
Engineering Services,105836.0,17,6225.64705882353,3,Emerging / Niche,False
