month,expense_amount
2023-04-01,417345.76
2023-05-01,417636.04
2023-06-01,396308.19
2023-07-01,307917.96
2023-08-01,474529.27999999997
2023-09-01,408961.48
2023-10-01,540972.3300000001
2023-11-01,654900.57
2023-12-01,444963.42
2024-01-01,688115.79
2024-02-01,329270.6
2024-03-01,1507386.4000000001
2024-04-01,322393.25
2024-05-01,395401.53
2024-06-01,216527.47
2024-07-01,220327.4
2024-08-01,341276.91
2024-09-01,227327.81
2024-10-01,1127474.0499999998
2024-11-01,438309.58
2024-12-01,579540.64
2025-01-01,286035.15
2025-02-01,413441.47
2025-03-01,2162988.71
