month,actual_revenue
2022-04-01,955157.0
2022-05-01,1091441.0
2022-06-01,1234599.0
2022-07-01,1396615.0
2022-08-01,1302996.0
2022-09-01,771502.0
2022-10-01,948528.0
2022-11-01,804573.0
2022-12-01,1056870.0
2023-01-01,1316536.0
2023-02-01,1260689.0
2023-03-01,1164394.0
2023-04-01,1162166.0
2023-05-01,1241511.0
2023-06-01,1272670.0
2023-07-01,1056493.0
2023-08-01,927711.0
2023-09-01,999101.0
2023-10-01,983758.0
2023-11-01,1300435.0
2023-12-01,991927.0
2024-01-01,898022.0
2024-02-01,1666367.0
2024-03-01,1449558.0
2024-04-01,674836.0
2024-05-01,1383879.0
2024-06-01,1408425.0
2024-07-01,1353525.0
2024-08-01,1248767.0
2024-09-01,1059062.0
2024-10-01,1797588.0
2024-11-01,1295099.0
2024-12-01,1473479.0
2025-01-01,1046602.0
2025-02-01,1393599.0
2025-03-01,1005935.0
2025-04-01,1500210.0
2025-05-01,1541737.0
2025-06-01,1771372.0
2025-07-01,1845023.0
2025-08-01,969655.0
2025-09-01,1249746.0
2025-10-01,1233909.0
2025-11-01,1054467.0
2025-12-01,1205661.0
2026-01-01,1078516.0
2026-02-01,1559051.0
2026-03-01,2116907.0
2026-04-01,2144521.0
2026-05-01,2757892.0
2026-06-01,1451360.0
