subIndustry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
"Acids, Polymers, adhesives, dyes, coatings",1753657.64,38,46148.88526315789,15,Emerging / Niche,False
Advertising & Marketing Consulting,707644.02,22,32165.637272727272,7,Emerging / Niche,False
Advertising - Media - Marketing Research,114035.87,4,28508.9675,4,Emerging / Niche,False
Advertising Agnecy,1469603.72,35,41988.67771428571,2,Emerging / Niche,True
"Aerospace, Automotive, Industrial, Environmental",3802749.53,62,61334.66983870968,13,Emerging / Niche,False
Agriculture,188592.54,3,62864.18,2,Emerging / Niche,True
Agrochemicals,288068.23,10,28806.822999999997,5,Emerging / Niche,False
"Apparel & Clothing, Footwear, Accessories, Toys & Games, retail",3972533.52,89,44635.20808988764,32,Emerging / Niche,False
Architecture & Interior Design,1309511.88,29,45155.582068965516,3,Emerging / Niche,False
Auto Ancillaries,1898993.13,20,94949.6565,7,Premium (High Value/Bill),False
"Automotive, Electronics, Machinery, Chemical, Manufacturing",42508168.0,946,44934.638477801265,195,Dominant Sub-Industries,False
Aviation,445274.36,11,40479.487272727274,4,Emerging / Niche,False
"BPO, KPO, LPO, MT",903871.64,21,43041.50666666667,7,Emerging / Niche,False
"Bag, Material, Leather",182260.40000000002,6,30376.733333333337,2,Emerging / Niche,True
"Banking, Fintech, Financial Services, wealth Management, Digital Payments, Insurance",24248035.74,431,56259.94371229698,82,Established / Core,False
Banking- Finance - Insurance - Capital - Investment,293349.28,6,48891.54666666667,1,Emerging / Niche,True
"Broadcast, Outdoor, Digital, Influencer Marketing, Affiliate Marketing",15632409.93,348,44920.71818965517,88,Established / Core,False
Business Process Outsourcing (BPO) & Business Support Services,178428.6,4,44607.15,1,Emerging / Niche,True
Business Services & Consulting,19029216.37,349,54524.975272206306,86,Established / Core,False
"CA, Taxation, Audit, Advisory, Associates",6931150.14,130,53316.53953846153,56,Established / Core,False
"Cement & Concrete, pipe, brick, suppliers",5121758.76,82,62460.472682926826,27,Emerging / Niche,False
Chemicals,356447.71,9,39605.30111111111,4,Emerging / Niche,False
Chemicals & Lubricants,75019.98000000001,4,18754.995000000003,1,Emerging / Niche,True
"Civil, Mechanical, Electrical, Chemical, Software",3587188.7,104,34492.19903846154,38,Emerging / Niche,False
Communication,296881.2,5,59376.240000000005,1,Emerging / Niche,True
Construction Equipment Manufacturing,456012.52,8,57001.565,1,Emerging / Niche,True
"Corporate Events, event, Ceremony Public & Cultural Events",7417433.23,132,56192.67598484849,47,Established / Core,False
Cosmetics & Skincare,592480.41,15,39498.694,1,Emerging / Niche,True
