subIndustry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
"Automotive, Electronics, Machinery, Chemical, Manufacturing",8062103.0,946,8522.307610993657,195,Dominant Sub-Industries,False
"Information Technology (IT), Data Analytics, Al, Robotics, IOT",6745039.0,591,11412.925549915397,135,Dominant Sub-Industries,False
"Banking, Fintech, Financial Services, wealth Management, Digital Payments, Insurance",4455973.0,431,10338.68445475638,82,Established / Core,False
"Software, cloud, Cybersecurity, IT Infrastructure & Networking",3716641.0,313,11874.252396166134,102,Established / Core,False
Business Services & Consulting,3439689.0,348,9884.163793103447,85,Established / Core,False
"Broadcast, Outdoor, Digital, Influencer Marketing, Affiliate Marketing",2667822.0,347,7688.247838616715,87,Established / Core,False
"Institutes, Training, Edtech, School",2284007.0,199,11477.422110552763,59,Established / Core,False
"Hospitals, Medical Research, Dental, optical, Healthcare",2080782.0,165,12610.8,45,Established / Core,False
"Corporate Events, event, Ceremony Public & Cultural Events",1429397.0,132,10828.765151515152,47,Established / Core,False
"CA, Taxation, Audit, Advisory, Associates",1237936.0,130,9522.584615384616,56,Established / Core,False
"Designing, Interior, Architect, Land scaping",1233004.0,153,8058.849673202614,60,Established / Core,False
"Experiential & Event Advertising, Content, Media Buying & Planning",1169069.0,136,8596.095588235294,41,Emerging / Niche,False
"Embroidery, Garment, Textile, Apparel",1024654.0,99,10350.040404040405,22,Emerging / Niche,False
"Power, Solar Energy, Renewable",1018399.0,58,17558.603448275862,13,Premium (High Value/Bill),False
Residential & Commercial Projects,1014406.0,112,9057.19642857143,43,Emerging / Niche,False
Residential and Commercial,974268.0,125,7794.144,35,Emerging / Niche,False
"Cement & Concrete, pipe, brick, suppliers",956778.0,82,11668.024390243903,27,Premium (High Value/Bill),False
Technology & IT Services,846573.0,43,19687.74418604651,9,Premium (High Value/Bill),False
"Pharma drugs, Therapeutic, Clinical Labs / Diagnostics",794245.0,97,8188.092783505154,33,Emerging / Niche,False
"Courier, Logistics, Supply Chain, Packaging, Transport",775609.0,115,6744.426086956521,50,Emerging / Niche,False
"Apparel & Clothing, Footwear, Accessories, Toys & Games, retail",771535.0,89,8668.932584269663,32,Emerging / Niche,False
"Online By Platform, Physical Goods, Digital Goods, Ecommerce",725100.0,54,13427.777777777777,23,Premium (High Value/Bill),False
"Aerospace, Automotive, Industrial, Environmental",677517.0,62,10927.693548387097,13,Emerging / Niche,False
"Civil, Mechanical, Electrical, Chemical, Software",673599.0,104,6476.913461538462,38,Emerging / Niche,False
"Gems, Precious Jewellery, Manufacturing",622153.0,69,9016.710144927536,23,Emerging / Niche,False
Travel & Tour,513357.0,65,7897.8,30,Emerging / Niche,False
Coworking & Flexible Workspaces,475562.0,40,11889.05,18,Premium (High Value/Bill),False
Food & Beverage,466763.0,34,13728.323529411764,11,Premium (High Value/Bill),False
"Snacks, Household Products, supermarkets",462163.0,74,6245.445945945946,25,Emerging / Niche,False
"Hotels, Restaurants, Cloud Kitchen",446651.0,65,6871.553846153846,21,Emerging / Niche,False
"Personal care, Fragrances & Perfumes, Makeup",410345.0,39,10521.666666666666,17,Emerging / Niche,False
"Goods & materials, All",378469.0,35,10813.4,10,Emerging / Niche,False
Information technology,376121.0,29,12969.689655172413,11,Premium (High Value/Bill),False
Auto Ancillaries,375045.0,20,18752.25,7,Premium (High Value/Bill),False
Green Energy,366447.0,20,18322.35,1,Premium (High Value/Bill),True
IT Services/ Consulting,356336.0,31,11494.709677419354,8,Premium (High Value/Bill),False
"Tissue, paper, Newsprint, Book Print & Publishing",354980.0,51,6960.392156862745,15,Emerging / Niche,False
"Film & Television, Music, Online Games",339249.0,28,12116.035714285714,11,Premium (High Value/Bill),False
Property Management Services,336016.0,45,7467.022222222222,17,Emerging / Niche,False
"Acids, Polymers, adhesives, dyes, coatings",325982.0,39,8358.51282051282,16,Emerging / Niche,False
"Raw Material,Machinery and Spare Parts",309605.0,47,6587.340425531915,18,Emerging / Niche,False
Media,244198.0,13,18784.46153846154,3,Premium (High Value/Bill),False
Advertising Agnecy,237947.0,35,6798.4857142857145,2,Emerging / Niche,True
"Instrument, Laboratory Equipment, Medical",235517.0,30,7850.566666666667,9,Emerging / Niche,False
Architecture & Interior Design,232580.0,29,8020.0,3,Emerging / Niche,False
"Security, Safety, Facility Management",231156.0,37,6247.459459459459,10,Emerging / Niche,False
"Structural, Automation",228546.0,26,8790.23076923077,11,Emerging / Niche,False
Pharmaceutical,221177.0,29,7626.793103448276,5,Emerging / Niche,False
"Food Production & Manufacturing, Beverage",217576.0,34,6399.294117647059,15,Emerging / Niche,False
Furniture and Home Furnishing Manufacturing/ sales,215527.0,38,5671.763157894737,15,Emerging / Niche,False
"Refineries, Petroleum & Oil - Gas",202489.0,19,10657.315789473685,4,Emerging / Niche,False
Education,189033.0,11,17184.81818181818,1,Premium (High Value/Bill),True
Pharmaceuticals & Ingredients,188872.0,25,7554.88,2,Emerging / Niche,True
Education Institue,186294.0,26,7165.153846153846,9,Emerging / Niche,False
"Fashion,Textiles & Accessories",185347.0,20,9267.35,5,Emerging / Niche,False
"Legal services, Law firms",184970.0,17,10880.588235294117,8,Emerging / Niche,False
